0,1,acquaintance,2
0,2,colleague,90
0,3,colleague,45
0,4,colleague,8
0,5,acquaintance,94
0,6,acquaintance,24
0,7,family,7
0,8,acquaintance,71
0,9,family,99
0,10,family,68
0,11,acquaintance,8
0,12,family,42
0,13,family,33
0,14,family,85
0,15,colleague,1
0,16,family,44
0,17,colleague,64
0,18,friend,3
0,19,friend,49
0,20,acquaintance,93
0,21,acquaintance,67
0,22,acquaintance,56
0,23,colleague,29
0,24,family,86
0,25,family,38
0,26,friend,93
0,27,colleague,13
0,28,acquaintance,10
0,29,acquaintance,27
0,30,acquaintance,50
0,31,friend,53
0,32,family,89
0,33,family,88
0,34,friend,75
0,35,acquaintance,73
0,36,acquaintance,97
0,37,family,28
0,38,colleague,98
0,39,friend,93
0,40,colleague,52
0,41,colleague,68
0,42,family,90
0,43,family,20
0,44,colleague,41
0,45,family,64
0,46,family,91
0,47,family,91
0,48,colleague,66
0,49,colleague,38
0,50,friend,17
0,51,acquaintance,18
0,52,family,95
0,53,friend,31
0,54,acquaintance,16
0,55,acquaintance,4
0,56,friend,66
0,57,friend,25
0,58,colleague,29
0,59,colleague,6
0,60,friend,46
0,61,colleague,30
0,62,colleague,50
0,63,colleague,98
0,64,colleague,20
0,65,friend,8
0,66,family,15
0,67,acquaintance,33
0,68,family,80
0,69,friend,73
0,70,acquaintance,17
0,71,family,2
0,72,friend,69
0,73,family,42
0,74,acquaintance,97
0,75,friend,57
0,76,friend,15
0,77,acquaintance,59
0,78,family,14
0,79,family,41
0,80,colleague,69
0,81,acquaintance,79
0,82,colleague,93
0,83,colleague,95
0,84,acquaintance,29
0,85,friend,75
0,86,colleague,89
0,87,colleague,33
0,88,friend,84
0,89,friend,80
0,90,family,67
0,91,colleague,34
0,92,friend,40
0,93,colleague,47
0,94,colleague,41
0,95,family,82
0,96,family,32
0,97,friend,100
0,98,friend,75
0,99,friend,98
0,100,family,26
0,101,friend,2
0,102,colleague,19
0,103,friend,87
0,104,colleague,64
0,105,family,18
0,106,friend,20
0,107,family,45
0,108,acquaintance,14
0,109,family,27
0,110,acquaintance,94
0,111,colleague,48
0,112,family,89
0,113,family,99
0,114,colleague,94
0,115,friend,70
0,116,family,52
0,117,friend,73
0,118,family,1
0,119,colleague,67
0,120,friend,95
0,121,family,99
0,122,acquaintance,32
0,123,acquaintance,94
0,124,acquaintance,4
0,125,family,6
0,126,acquaintance,22
0,127,acquaintance,37
0,128,friend,43
0,129,acquaintance,16
0,130,colleague,10
0,131,acquaintance,68
0,132,colleague,71
0,133,friend,30
0,134,colleague,37
0,135,acquaintance,51
0,136,acquaintance,39
0,137,family,28
0,138,acquaintance,76
0,139,acquaintance,78
0,140,friend,84
0,141,acquaintance,91
0,142,friend,31
0,143,colleague,83
0,144,friend,64
0,145,colleague,18
0,146,friend,93
0,147,colleague,60
0,148,friend,84
0,149,acquaintance,68
0,150,friend,79
0,151,family,42
0,152,acquaintance,75
0,153,acquaintance,29
0,154,colleague,44
0,155,colleague,82
0,156,acquaintance,10
0,157,family,3
0,158,friend,31
0,159,acquaintance,10
0,160,friend,4
0,161,acquaintance,94
0,162,acquaintance,69
0,163,friend,79
0,164,colleague,43
0,165,acquaintance,89
0,166,friend,20
0,167,friend,18
0,168,colleague,22
0,169,colleague,76
0,170,acquaintance,49
0,171,colleague,2
0,172,friend,6
0,173,friend,71
0,174,friend,13
0,175,colleague,51
0,176,friend,36
0,177,family,63
0,178,colleague,21
0,179,acquaintance,97
0,180,friend,49
0,181,colleague,44
0,182,friend,35
0,183,acquaintance,51
0,184,colleague,41
0,185,family,43
0,186,family,58
0,187,acquaintance,85
0,188,acquaintance,41
0,189,family,43
0,190,acquaintance,55
0,191,family,21
0,192,family,48
0,193,friend,64
0,194,acquaintance,56
0,195,friend,55
0,196,acquaintance,41
0,197,family,71
0,198,acquaintance,78
0,199,family,85
0,200,friend,59
0,201,acquaintance,33
0,202,friend,26
0,203,colleague,15
0,204,friend,64
0,205,family,11
0,206,colleague,100
0,207,friend,23
0,208,acquaintance,60
0,209,family,71
0,210,colleague,38
0,211,family,92
0,212,acquaintance,18
0,213,friend,81
0,214,acquaintance,41
0,215,family,41
0,216,acquaintance,23
0,217,colleague,77
0,218,family,19
0,219,colleague,1
0,220,family,75
0,221,family,93
0,222,colleague,42
0,223,colleague,98
0,224,acquaintance,93
0,225,friend,58
0,226,family,74
0,227,friend,28
0,228,acquaintance,75
0,229,colleague,17
0,230,colleague,56
0,231,colleague,16
0,232,friend,12
0,233,colleague,56
0,234,colleague,39
0,235,family,18
0,236,acquaintance,90
0,237,acquaintance,87
0,238,friend,68
0,239,friend,51
0,240,colleague,92
0,241,family,69
0,242,colleague,18
0,243,friend,11
0,244,family,76
0,245,family,96
0,246,acquaintance,45
0,247,friend,48
0,248,family,83
0,249,friend,66
0,250,acquaintance,78
0,251,friend,21
0,252,acquaintance,38
0,253,family,60
0,254,friend,97
0,255,colleague,2
0,256,colleague,1
0,257,friend,29
0,258,acquaintance,83
0,259,colleague,69
0,260,family,95
0,261,family,13
0,262,acquaintance,39
0,263,colleague,69
0,264,acquaintance,21
0,265,colleague,77
0,266,family,57
0,267,family,91
0,268,family,75
0,269,friend,47
0,270,acquaintance,65
0,271,colleague,44
0,272,colleague,89
0,273,acquaintance,78
0,274,family,30
0,275,colleague,57
0,276,colleague,11
0,277,family,83
0,278,family,31
0,279,colleague,9
0,280,colleague,81
0,281,acquaintance,7
0,282,family,36
0,283,family,40
0,284,colleague,78
0,285,family,94
